;Restaurant;Avis;type_cuisine;fourchette_prix;link;type_cuisine_1;type_cuisine_2;restaurants;note;localisation;lat;lon
237;275. Julo;80 avis;Bar à vins, Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8506278-Reviews-Julo-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Bar à vins; Française;275. Julo;5.0;[44.8348009, -0.5649136];44.8348009;-0.5649136
238;276. Au Couvent;157 avis;Française, Internationale;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12730760-Reviews-Au_Couvent-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Internationale;276. Au Couvent;4.5;[44.8509992, -0.571375];44.8509992;-0.571375
239;277. Restaurant Grill La Table de Bécassine Bordeaux;296 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6567309-Reviews-La_Table_de_Becassine-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;277. Restaurant Grill La Table de Bécassine Bordeaux;4.5;[44.8342262, -0.5745176];44.8342262;-0.5745176
240;278. La Table Deruelle;75 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d15014126-Reviews-La_Table_Deruelle-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;278. La Table Deruelle;4.5;[44.8337433, -0.5665342];44.8337433;-0.5665342
241;279. Restaurant Brunch Big Bean Canteen Bordeaux;47 avis;Britannique, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19259043-Reviews-Big_bean_Canteen-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Britannique; Saine;279. Restaurant Brunch Big Bean Canteen Bordeaux;5.0;[44.8486872, -0.5827552];44.8486872;-0.5827552
242;280. Restaurant L'Intemporel Bordeaux;56 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d15787163-Reviews-L_Intemporel-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;280. Restaurant L'Intemporel Bordeaux;4.5;[44.8530695, -0.5702247];44.8530695;-0.5702247
243;281. ChezMémé.com;894 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6994145-Reviews-CHEZ_MEME-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;281. ChezMémé.com;4.0;[44.841301, -0.5731075];44.841301;-0.5731075
244;282. Avant comptoir du palais - CAMDEBORDE;83 avis;Française, Brasserie gastronomique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19279914-Reviews-Avant_comptoir_du_palais_CAMDEBORDE-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Brasserie gastronomique;282. Avant comptoir du palais - CAMDEBORDE;4.5;[44.838523, -0.5689635];44.838523;-0.5689635
245;283. An Tam Pessac;73 avis;Asiatique, Vietnamienne;€;https://www.tripadvisor.fr/Restaurant_Review-g196515-d12479023-Reviews-An_Tam-Pessac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Asiatique; Vietnamienne;283. An Tam Pessac;4.5;[44.8060836, -0.6318371];44.8060836;-0.6318371
246;284. Merci Bègles;895 avis;Fruits de mer & Poisson;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g226847-d1119930-Reviews-Merci-Begles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Fruits de mer & Poisson;;284. Merci Bègles;4.0;[44.8028241, -0.5312561];44.8028241;-0.5312561
247;285. Funky Burger Bordeaux;356 avis;Américaine;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d4045588-Reviews-Funky_burger-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Américaine;;285. Funky Burger Bordeaux;4.0;[44.8380233, -0.5721172];44.8380233;-0.5721172
248;286. Mifan;49 avis;Asiatique, Thaï;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d21056223-Reviews-Mifan-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Asiatique; Thaï;286. Mifan;5.0;[44.8446818, -0.5789182];44.8446818;-0.5789182
249;287. Ragazzi du Peppone Bordeaux;748 avis;Italienne, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1501441-Reviews-Ragazzi_du_Peppone-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Européenne;287. Ragazzi du Peppone Bordeaux;4.0;[44.8394908, -0.5686914];44.8394908;-0.5686914
250;289. La Ferme du Petit Argelas Saint Médard en Jalles;42 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1833139-d15677224-Reviews-La_Ferme_du_Petit_Argelas-Saint_Medard_en_Jalles_Bordeaux_Gironde_Nouvelle_Aqui.html;Française; Saine;289. La Ferme du Petit Argelas Saint Médard en Jalles;5.0;[44.8883734, -0.7022787];44.8883734;-0.7022787
251;291. Restaurant Padang Padang Bordeaux;418 avis;Asiatique, Thaï;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6994045-Reviews-Padang_Padang-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Asiatique; Thaï;291. Restaurant Padang Padang Bordeaux;4.0;[44.8374465, -0.5710566];44.8374465;-0.5710566
252;293. Primi Bordeaux;56 avis;Italienne, Romana;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17777610-Reviews-Primi-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Romana;293. Primi Bordeaux;4.5;[44.836902, -0.5720472];44.836902;-0.5720472
253;295. Pacific Bordeaux;103 avis;Japonaise, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d16920168-Reviews-Pacific-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Japonaise; Saine;295. Pacific Bordeaux;4.5;[44.8373994, -0.570685];44.8373994;-0.570685
254;297. Côté Zinc;61 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d16750315-Reviews-Cote_Zinc-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;297. Côté Zinc;4.5;[44.8443661, -0.5527359];44.8443661;-0.5527359
255;298. Crêperie La Parenthèse Bordeaux;286 avis;Française;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7708328-Reviews-La_Parenthese_creperie-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;298. Crêperie La Parenthèse Bordeaux;4.0;[44.8352545, -0.5734754];44.8352545;-0.5734754
256;299. Les Fils à Maman;599 avis;Française, Bar;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7648228-Reviews-Les_Fils_a_Maman_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar;299. Les Fils à Maman;4.0;[44.8402704, -0.570646];44.8402704;-0.570646
257;300. New York New York;53 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d5482488-Reviews-New_York_New_York-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;300. New York New York;4.5;[44.8362925, -0.5753872];44.8362925;-0.5753872
258;302. Restaurant Ethiopien Adey Abeba Bordeaux;105 avis;Africaine, Éthiopienne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3774334-Reviews-Adey_Abeba-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Africaine; Éthiopienne;302. Restaurant Ethiopien Adey Abeba Bordeaux;4.5;[44.8311805, -0.574506];44.8311805;-0.574506
259;303. Tripletta Saint Michel;150 avis;Pizza, Italienne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d14208972-Reviews-Tripletta_Saint_Michel-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Pizza; Italienne;303. Tripletta Saint Michel;4.5;[44.8347195, -0.5666517];44.8347195;-0.5666517
260;304. Le Bistrot de l'Alouette Pessac;521 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g196515-d3721482-Reviews-Le_Bistrot_de_l_Alouette-Pessac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;304. Le Bistrot de l'Alouette Pessac;4.0;[44.7992975, -0.6634402];44.7992975;-0.6634402
261;305. Wine More Time Bordeaux;191 avis;Française, Bar à vins;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2177474-Reviews-Wine_More_Time-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar à vins;305. Wine More Time Bordeaux;4.0;[44.8366079, -0.5714432];44.8366079;-0.5714432
262;306. Gajac Pizza Saint Médard en Jalles;145 avis;Italienne, Pizza;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1833139-d5037247-Reviews-Gajac_Pizza-Saint_Medard_en_Jalles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Pizza;306. Gajac Pizza Saint Médard en Jalles;4.5;[44.8881856, -0.7018944];44.8881856;-0.7018944
263;308. Bistro Montesquieu;314 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1582409-Reviews-Bistro_Montesquieu-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;308. Bistro Montesquieu;4.0;[44.8423146, -0.5786601];44.8423146;-0.5786601
264;309. Saveur Latine Bordeaux;312 avis;Mexicaine, Sud-américaine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2258260-Reviews-Saveur_Latine-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Mexicaine; Sud-américaine;309. Saveur Latine Bordeaux;4.0;[44.8397425, -0.5708363];44.8397425;-0.5708363
265;310. Café Brasserie La Villa Tourny Bordeaux;422 avis;Française, Bar;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d967387-Reviews-La_Villa_Tourny-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar;310. Café Brasserie La Villa Tourny Bordeaux;4.0;[44.8434841, -0.5759161];44.8434841;-0.5759161
266;311. Lulu dans la Prairie Mérignac;576 avis;Française, Bar;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d1019707-Reviews-Lulu_dans_la_Prairie_Maison_You-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar;311. Lulu dans la Prairie Mérignac;4.0;[44.8478748, -0.6930613];44.8478748;-0.6930613
267;312. Restaurant Libanais Cèdre et Vous;43 avis;Française, Libanaise;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17555746-Reviews-Cedre_Et_Vous-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Libanaise;312. Restaurant Libanais Cèdre et Vous;5.0;[44.8350235, -0.5753369];44.8350235;-0.5753369
268;313. Le Quatrieme Mur;5 639 avis;Française, Saine;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8612874-Reviews-Le_Quatrieme_Mur-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;313. Le Quatrieme Mur;4.0;[44.8423648, -0.5747401];44.8423648;-0.5747401
269;314. Brasserie Le Noailles Bordeaux;1 324 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1810068-Reviews-Le_Noailles-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;314. Brasserie Le Noailles Bordeaux;4.0;[44.8432571, -0.5755987];44.8432571;-0.5755987
270;315. Chez Lolotte Bordeaux;168 avis;Française, Espagnole;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d14176725-Reviews-Chez_Lolotte-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Espagnole;315. Chez Lolotte Bordeaux;4.0;[44.8418273, -0.5753808];44.8418273;-0.5753808
271;318. La Tradizione Bordeaux;89 avis;Italienne, Pizza;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19432799-Reviews-La_Tradizione-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Pizza;318. La Tradizione Bordeaux;4.5;[44.8553945, -0.5670682138452868];44.8553945;-0.5670682138452868
272;319. Madame Pang Bordeaux;231 avis;Chinoise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12127405-Reviews-Madame_Pang-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Chinoise; Asiatique;319. Madame Pang Bordeaux;4.0;[44.8399496, -0.5715039];44.8399496;-0.5715039
273;320. La DJAF;114 avis;Africaine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8714046-Reviews-La_DJAF-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Africaine;;320. La DJAF;4.5;[44.8444677, -0.5809914];44.8444677;-0.5809914
274;321. Chez Kimmie Bordeaux;84 avis;Chinoise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7289144-Reviews-Chez_Kimmie-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Chinoise; Asiatique;321. Chez Kimmie Bordeaux;4.5;[44.8340688, -0.575703];44.8340688;-0.575703
275;323. Bistrot du Grand Louis Mérignac;748 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d2219172-Reviews-Bistrot_du_Grand_Louis-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;323. Bistrot du Grand Louis Mérignac;4.0;[44.8610335, -0.6426544005887226];44.8610335;-0.6426544005887226
276;324. Restaurant Le Vieux Chaudron Bordeaux;351 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2520890-Reviews-Le_vieux_Chaudron-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;324. Restaurant Le Vieux Chaudron Bordeaux;4.0;[44.8392197, -0.5720476];44.8392197;-0.5720476
277;325. Brasserie Café des Arts Bordeaux;542 avis;Brasserie gastronomique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1088495-Reviews-Cafe_des_Arts-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Brasserie gastronomique;;325. Brasserie Café des Arts Bordeaux;4.0;[44.8347822, -0.5731214];44.8347822;-0.5731214
278;326. Chez Peppone Bordeaux;2 048 avis;Italienne, Pizza;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d808972-Reviews-Chez_Peppone-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Pizza;326. Chez Peppone Bordeaux;4.0;[44.8422284, -0.5796713];44.8422284;-0.5796713
279;328. Personne n'Est Parfait;92 avis;Française, Café;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12562218-Reviews-PNP_Personne_n_Est_Parfait-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Café;328. Personne n'Est Parfait;4.5;[44.8369219, -0.5744633];44.8369219;-0.5744633
280;329. La Conserverie-Converserie Bordeaux;101 avis;Française, Bar à vins;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6778596-Reviews-La_Conserverie_Converserie-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar à vins;329. La Conserverie-Converserie Bordeaux;4.5;[44.8499559, -0.5722722];44.8499559;-0.5722722
281;330. L'Itinérant Bordeaux;45 avis;Brésilienne, Caraïbes;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19103932-Reviews-L_Itinerant-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Brésilienne; Caraïbes;330. L'Itinérant Bordeaux;5.0;[44.8319137, -0.5729345];44.8319137;-0.5729345
282;331. Brasserie de L'Orleans;507 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1327622-Reviews-Brasserie_de_L_Orleans-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;331. Brasserie de L'Orleans;4.0;[44.8437844, -0.5735283];44.8437844;-0.5735283
283;332. Le Bistrot Gare Saint Médard en Jalles;269 avis;Européenne, Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1833139-d3727412-Reviews-Le_Bistrot_Gare-Saint_Medard_en_Jalles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Européenne; Française;332. Le Bistrot Gare Saint Médard en Jalles;4.0;[44.8926082, -0.7253213525092717];44.8926082;-0.7253213525092717
284;334. Le Bordeaux;1 377 avis;Française, Européenne;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1860544-Reviews-Le_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;334. Le Bordeaux;4.0;[44.8428732, -0.574592];44.8428732;-0.574592
285;337. Coffret de Saveurs;98 avis;Chinoise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d11686725-Reviews-Coffret_de_Saveurs-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Chinoise; Asiatique;337. Coffret de Saveurs;4.5;[44.8522733, -0.6188506];44.8522733;-0.6188506
286;338. Pétaouchnok;122 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1833139-d15851484-Reviews-Petaouchnok-Saint_Medard_en_Jalles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;338. Pétaouchnok;4.5;[44.8952473, -0.7200683];44.8952473;-0.7200683
287;339. Boccaccia;30 avis;Italienne, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d23484828-Reviews-Boccaccia-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Méditerranéenne;339. Boccaccia;5.0;[44.8310374, -0.5677382];44.8310374;-0.5677382
288;340. La Cantine Ô Saveurs;119 avis;Européenne, Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g676155-d7369972-Reviews-La_Cantine_O_Saveurs-Blanquefort_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Européenne; Française;340. La Cantine Ô Saveurs;4.5;[44.9100866, -0.6363869];44.9100866;-0.6363869
289;344. Casa Ferretti ;236 avis;Italienne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8762809-Reviews-Casa_Ferretti-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne;;344. Casa Ferretti ;4.0;[44.8563224, -0.6178511];44.8563224;-0.6178511
290;345. Lichen Bordeaux;62 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d16725651-Reviews-Lichen-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;345. Lichen Bordeaux;4.5;[44.8427895, -0.5812863750000001];44.8427895;-0.5812863750000001
291;347. Restaurant Le Grill au Thym Bordeaux;452 avis;Française, Barbecue/Grillades;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1479097-Reviews-Le_Grill_au_Thym-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Barbecue/Grillades;347. Restaurant Le Grill au Thym Bordeaux;4.0;[44.8406554, -0.5704114];44.8406554;-0.5704114
292;348. Pub Le Saint Aub';47 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1939259-d17721497-Reviews-Le_Saint_Aub-Saint_Aubin_De_Medoc_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;348. Pub Le Saint Aub';4.5;[44.9097202, -0.7241804];44.9097202;-0.7241804
293;349. Restaurant Julien Cruège Bordeaux;284 avis;Française, Européenne;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1194787-Reviews-Julien_Cruege-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;349. Restaurant Julien Cruège Bordeaux;4.0;[44.8489605, -0.5933131];44.8489605;-0.5933131
294;350. Papillon Bordeaux;45 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d18543240-Reviews-Papillon-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;350. Papillon Bordeaux;5.0;[44.8492005, -0.5706536];44.8492005;-0.5706536
295;351. La Broche de l'Ôstal;79 avis;Française, Bar à vins;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d13424861-Reviews-La_Broche_de_l_Ostal-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar à vins;351. La Broche de l'Ôstal;4.5;[44.8299548, -0.5677654];44.8299548;-0.5677654
296;352. Restaurant L'AppArt Mérignac;351 avis;Française, Européenne;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d1590661-Reviews-Restaurant_L_Appart-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;352. Restaurant L'AppArt Mérignac;4.0;[44.8506925, -0.6456729];44.8506925;-0.6456729
297;353. Restaurant Au Chaperon Rouge Bordeaux;36 avis;Française, Européenne;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1324308-Reviews-Au_Chaperon_Rouge-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;353. Restaurant Au Chaperon Rouge Bordeaux;5.0;[44.8443099, -0.5814422];44.8443099;-0.5814422
298;355. Au Comté d'Ornon Restaurant;211 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207337-d8856480-Reviews-Au_Comte_d_Ornon_Restaurant-Gradignan_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;355. Au Comté d'Ornon Restaurant;4.0;[44.7768896, -0.6400793];44.7768896;-0.6400793
299;356. Restaurant Méditerranéen Tajinier Mérignac;266 avis;Marocaine, Moyen-Orient;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d13189740-Reviews-Tajinier-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Marocaine; Moyen-Orient;356. Restaurant Méditerranéen Tajinier Mérignac;4.0;[44.8309738, -0.6650686];44.8309738;-0.6650686
300;357. Côté Jardin Blanquefort;143 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g676155-d3655697-Reviews-Cote_Jardin-Blanquefort_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;357. Côté Jardin Blanquefort;4.0;[44.9041493, -0.6196163];44.9041493;-0.6196163
301;358. Le Malabar Bordeaux;125 avis;Indienne;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d780434-Reviews-Le_Malabar-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Indienne;;358. Le Malabar Bordeaux;4.5;[44.8370168, -0.572305];44.8370168;-0.572305
302;359. Koh-I-Noor;392 avis;Indienne, Pakistanaise;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d797881-Reviews-Restaurant_Koh_I_Noor-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Indienne; Pakistanaise;359. Koh-I-Noor;4.0;[44.8409271, -0.5708038];44.8409271;-0.5708038
303;360. Melobowls;85 avis;Saine, Hawaïenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d13910981-Reviews-Melobowls-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Saine; Hawaïenne;360. Melobowls;4.5;[44.8387747, -0.579164];44.8387747;-0.579164
304;361. Hush Hush Bordeaux;63 avis;Française, Bar;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d16813231-Reviews-Hush_Hush-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar;361. Hush Hush Bordeaux;4.5;[44.837248, -0.5709651];44.837248;-0.5709651
305;362. Restaurant Yumi;129 avis;Japonaise, Sushi;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8037791-Reviews-Restaurant_Yumi-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Japonaise; Sushi;362. Restaurant Yumi;4.5;[44.853387, -0.5671809];44.853387;-0.5671809
306;363. Frida;313 avis;Française, Bar;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12833100-Reviews-Frida-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar;363. Frida;4.0;[44.8366113, -0.5706298];44.8366113;-0.5706298
307;364. Monkey Mood Restaurant Bordeaux;36 avis;Française, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17777623-Reviews-Monkey_Mood-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Asiatique;364. Monkey Mood Restaurant Bordeaux;5.0;[44.8335354, -0.5652529];44.8335354;-0.5652529
308;365. Bistro du Vieux Marché Bordeaux;48 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d18194689-Reviews-Bistro_du_Vieux_Marche-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;365. Bistro du Vieux Marché Bordeaux;5.0;[44.8361381, -0.5720561];44.8361381;-0.5720561
309;366. Villa Ferretti;116 avis;Italienne, Pizza;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12999313-Reviews-Villa_Ferretti-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Pizza;366. Villa Ferretti;4.0;[44.8412753, -0.5992274];44.8412753;-0.5992274
310;367. Restaurant Italien IL Nocino Bordeaux;71 avis;Pizza;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d4507523-Reviews-IL_Nocino-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Pizza;;367. Restaurant Italien IL Nocino Bordeaux;5.0;[44.841389, -0.571796];44.841389;-0.571796
311;368. Les Sauvages Bordeaux;113 avis;Cuisine de rue (street food), Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d13546803-Reviews-Les_Sauvages-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Cuisine de rue (street food); Saine;368. Les Sauvages Bordeaux;4.5;[44.8540948, -0.571551];44.8540948;-0.571551
312;369. Basilic & Co Bordeaux;121 avis;Française, Italienne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d13100286-Reviews-Basilic_Co_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Italienne;369. Basilic & Co Bordeaux;4.5;[44.8388613, -0.5816784];44.8388613;-0.5816784
313;370. Comptoir Cuisine;1 082 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2622867-Reviews-Comptoir_Cuisine-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;370. Comptoir Cuisine;4.0;[44.8423648, -0.5747401];44.8423648;-0.5747401
314;371. L'Alchimiste Bègles;84 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g226847-d7994625-Reviews-L_Alchimiste-Begles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;371. L'Alchimiste Bègles;4.5;[44.8082856, -0.5737314];44.8082856;-0.5737314
315;372. Oxford Arms Bordeaux;102 avis;Britannique, Pub;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3222491-Reviews-Oxford_Arms-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Britannique; Pub;372. Oxford Arms Bordeaux;4.5;[44.8416977, -0.5840003];44.8416977;-0.5840003
316;373. Tutiac, Le Bistro Vignerons Bordeaux;133 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d15560352-Reviews-Tutiac_Le_Bistro_Vignerons-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;373. Tutiac, Le Bistro Vignerons Bordeaux;4.5;[44.8381341, -0.5696143];44.8381341;-0.5696143
