;Restaurant;Avis;type_cuisine;fourchette_prix;link;type_cuisine_1;type_cuisine_2;restaurants;note;localisation;lat;lon
118;140. Mille Et Une Saveurs Bordeaux;126 avis;Libanaise, Méditerranéenne;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10619189-Reviews-Mille_Et_Une_Saveurs_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Libanaise; Méditerranéenne;140. Mille Et Une Saveurs Bordeaux;4.5;[44.8437144, -0.5546142];44.8437144;-0.5546142
119;141. Restaurant Café Kokomo Bordeaux;270 avis;Américaine, Café;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12689678-Reviews-Cafe_Kokomo-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Américaine; Café;141. Restaurant Café Kokomo Bordeaux;4.5;[44.8370549, -0.5725947];44.8370549;-0.5725947
120;142. Restaurant Le Scopitone Bordeaux;362 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d804347-Reviews-Le_scopitone-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;142. Restaurant Le Scopitone Bordeaux;4.0;[44.8414623, -0.5794904];44.8414623;-0.5794904
121;143. Restaurant Bar Aux Quatre Coins du Vin Bordeaux;738 avis;Française, Bar à vins;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1815561-Reviews-Aux_Quatre_Coins_du_Vin-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar à vins;143. Restaurant Bar Aux Quatre Coins du Vin Bordeaux;4.5;[44.8397552, -0.5709281];44.8397552;-0.5709281
122;144. Ozé-Restaurant;76 avis;Européenne, Française;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19779845-Reviews-Oze_Restaurant-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Européenne; Française;144. Ozé-Restaurant;5.0;[44.8423335, -0.5812565];44.8423335;-0.5812565
123;145. Le Comptoir D'Etienne;311 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12715949-Reviews-Le_Comptoir_D_Etienne-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;145. Le Comptoir D'Etienne;4.5;[44.8391283, -0.5717816];44.8391283;-0.5717816
124;147. Restaurant RIAD MARRAKECH Le Bouscat;212 avis;Marocaine, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g661216-d3794679-Reviews-RIAD_MARRAKECH-Le_Bouscat_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Marocaine; Méditerranéenne;147. Restaurant RIAD MARRAKECH Le Bouscat;4.5;[44.861212, -0.600446];44.861212;-0.600446
125;148. Restaurant Le Régallien Bordeaux;91 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17706424-Reviews-Le_Regallien-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;148. Restaurant Le Régallien Bordeaux;4.5;[44.8440924, -0.5817143];44.8440924;-0.5817143
126;149. Café Restaurant des Gourmets Bordeaux;474 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3307822-Reviews-Cafe_des_Gourmets-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;149. Café Restaurant des Gourmets Bordeaux;4.0;[44.8411189, -0.5710854];44.8411189;-0.5710854
127;150. A Cantina Brasserie Corse Bordeaux;563 avis;Française, Méditerranéenne;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7109225-Reviews-A_Cantina_Brasserie_Corse-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Méditerranéenne;150. A Cantina Brasserie Corse Bordeaux;4.5;[44.8436169, -0.5771812];44.8436169;-0.5771812
128;151. Restaurant Temps à Nouveau Bordeaux;66 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d23517944-Reviews-Temps_A_Nouveau-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;151. Restaurant Temps à Nouveau Bordeaux;5.0;[44.8385676, -0.6159666];44.8385676;-0.6159666
129;153. Le Bistrot de Tutelle Bordeaux;236 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10106575-Reviews-Le_Bistrot_de_Tutelle_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;153. Le Bistrot de Tutelle Bordeaux;4.5;[44.8415099, -0.5737448];44.8415099;-0.5737448
130;154. Books & Coffee Bordeaux;421 avis;Française, Café;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d4496560-Reviews-Books_Coffee-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Café;154. Books & Coffee Bordeaux;4.5;[44.8360453, -0.5713266];44.8360453;-0.5713266
131;155. L'Auberge Espagnole Bordeaux;256 avis;Espagnole, Bar à vins;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d9558295-Reviews-L_Auberge_Espagnole_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Espagnole; Bar à vins;155. L'Auberge Espagnole Bordeaux;4.5;[44.8390923, -0.5704671];44.8390923;-0.5704671
132;156. Angel's Smokehouse Bordeaux;86 avis;Américaine, Barbecue/Grillades;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d15535908-Reviews-Angel_s_Smokehouse-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Américaine; Barbecue/Grillades;156. Angel's Smokehouse Bordeaux;5.0;[44.8362594, -0.5759146];44.8362594;-0.5759146
133;157. Restaurant Bodega el Pata Negra Bordeaux;179 avis;Latino, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d4794426-Reviews-Bodega_el_Pata_Negra-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Latino; Méditerranéenne;157. Restaurant Bodega el Pata Negra Bordeaux;4.5;[44.8391579, -0.5698687];44.8391579;-0.5698687
134;159. Restaurant Ishikawa Bordeaux;70 avis;Japonaise, Asiatique;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17185861-Reviews-Ishikawa-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Japonaise; Asiatique;159. Restaurant Ishikawa Bordeaux;5.0;[44.8361366, -0.5766054];44.8361366;-0.5766054
135;160. Restaurant Point Rouge Bordeaux;275 avis;Française;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8650962-Reviews-Point_Rouge-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;160. Restaurant Point Rouge Bordeaux;4.5;[44.8314662, -0.5585835];44.8314662;-0.5585835
136;161. La Fabriek à Tartare Bordeaux;182 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19810656-Reviews-La_Fabriek_a_Tartare-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;161. La Fabriek à Tartare Bordeaux;4.5;[44.8405087, -0.5705398];44.8405087;-0.5705398
